Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Matched, 0006B74F,92, 5C, 0006B79C,92, 5C
Replaced, 0006B7AB,1,1, 0006B7F8,1,1
Matched, 0006B7AC,150,96, 0006B7F9,150,96
Replaced, 0006B842,1,1, 0006B88F,1,1
Matched, 0006B843,568,238, 0006B890,568,238
Replaced, 0006BA7B,22,16, 0006BAC8,22,16
Matched, 0006BA91,282, 011A, 0006BADE,282, 011A
Replaced, 0006BBAB,12, 0C, 0006BBF8,12, 0C
Matched, 0006BBB7,36,24, 0006BC04,36,24
Replaced, 0006BBDB,198, C6, 0006BC28,198, C6
Matched, 0006BCA1,40,28, 0006BCEE,40,28
Replaced, 0006BCC9,2,2, 0006BD16,2,2
Matched, 0006BCCB,32,20, 0006BD18,32,20
Replaced, 0006BCEB,2,2, 0006BD38,2,2
Matched, 0006BCED,32,20, 0006BD3A,32,20
Replaced, 0006BD0D,2,2, 0006BD5A,2,2
Matched, 0006BD0F,32,20, 0006BD5C,32,20
Replaced, 0006BD2F,2,2, 0006BD7C,2,2
Matched, 0006BD31,32,20, 0006BD7E,32,20
Replaced, 0006BD51,2,2, 0006BD9E,2,2
Matched, 0006BD53,32,20, 0006BDA0,32,20
Replaced, 0006BD73,2,2, 0006BDC0,2,2
Matched, 0006BD75,37,25, 0006BDC2,37,25
Replaced, 0006BD9A,1,1, 0006BDE7,1,1
Matched, 0006BD9B,95, 5F, 0006BDE8,95, 5F
Replaced, 0006BDFA,1,1, 0006BE47,1,1
Matched, 0006BDFB,65,41, 0006BE48,65,41
Replaced, 0006BE3C,1,1, 0006BE89,1,1
Matched, 0006BE3D,81,51, 0006BE8A,81,51
Replaced, 0006BE8E,80,50, 0006BEDB,80,50
Matched, 0006BEDE,65,41, 0006BF2B,65,41
Replaced, 0006BF1F,1,1, 0006BF6C,1,1
Matched, 0006BF20,81,51, 0006BF6D,81,51
Replaced, 0006BF71,61, 3D, 0006BFBE,61, 3D
Matched, 0006BFAE,39,27, 0006BFFB,39,27
Replaced, 0006BFD5,23,17, 0006C022,23,17
Matched, 0006BFEC,41,29, 0006C039,41,29
Replaced, 0006C015,11, 0B, 0006C062,11, 0B
