c01cc2 inx                    A:b1d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 978 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H: 990 F:15
c01cbf stz $0200,x   [00020b] A:b1d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1008 F:15
c01cc2 inx                    A:b1d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1040 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1052 F:15
c01cbf stz $0200,x   [00020c] A:b1d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1070 F:15
c01cc2 inx                    A:b1d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1102 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1114 F:15
c01cbf stz $0200,x   [00020d] A:b1d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1132 F:15
c01cc2 inx                    A:b1d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1164 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1176 F:15
c01cbf stz $0200,x   [00020e] A:b1d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1194 F:15
c01cc2 inx                    A:b1d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1226 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1238 F:15
c01cbf stz $0200,x   [00020f] A:b1d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1256 F:15
c01cc2 inx                    A:b1d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1288 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1300 F:15
c01cbf stz $0200,x   [000210] A:b1d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1318 F:15
c01cc2 inx                    A:b1d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1350 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 77 H:1362 F:15
c01cbf stz $0200,x   [000211] A:b1d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:  16 F:15
c01cc2 inx                    A:b1d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:  48 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:  60 F:15
c01cbf stz $0200,x   [000212] A:b1d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:  78 F:15
