c01cbf stz $0200,x   [000201] A:a2d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 608 F:15
c01cc2 inx                    A:a2d1 X:0001 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 640 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 652 F:15
c01cbf stz $0200,x   [000202] A:a2d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 670 F:15
c01cc2 inx                    A:a2d1 X:0002 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 702 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 714 F:15
c01cbf stz $0200,x   [000203] A:a2d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 732 F:15
c01cc2 inx                    A:a2d1 X:0003 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 764 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 776 F:15
c01cbf stz $0200,x   [000204] A:a2d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 794 F:15
c01cc2 inx                    A:a2d1 X:0004 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 826 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 838 F:15
c01cbf stz $0200,x   [000205] A:a2d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 856 F:15
c01cc2 inx                    A:a2d1 X:0005 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 888 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 900 F:15
c01cbf stz $0200,x   [000206] A:a2d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 918 F:15
c01cc2 inx                    A:a2d1 X:0006 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 950 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 962 F:15
c01cbf stz $0200,x   [000207] A:a2d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H: 980 F:15
c01cc2 inx                    A:a2d1 X:0007 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1012 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1024 F:15
c01cbf stz $0200,x   [000208] A:a2d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1042 F:15
c01cc2 inx                    A:a2d1 X:0008 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1074 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1086 F:15
c01cbf stz $0200,x   [000209] A:a2d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1104 F:15
c01cc2 inx                    A:a2d1 X:0009 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1136 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1148 F:15
c01cbf stz $0200,x   [00020a] A:a2d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1166 F:15
c01cc2 inx                    A:a2d1 X:000a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1198 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1210 F:15
c01cbf stz $0200,x   [00020b] A:a2d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1228 F:15
c01cc2 inx                    A:a2d1 X:000b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1260 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1272 F:15
c01cbf stz $0200,x   [00020c] A:a2d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1290 F:15
c01cc2 inx                    A:a2d1 X:000c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1322 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1334 F:15
c01cbf stz $0200,x   [00020d] A:a2d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 13 H:1352 F:15
c01cc2 inx                    A:a2d1 X:000d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:  20 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:  32 F:15
c01cbf stz $0200,x   [00020e] A:a2d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:  50 F:15
c01cc2 inx                    A:a2d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:  82 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H:  94 F:15
c01cbf stz $0200,x   [00020f] A:a2d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 112 F:15
c01cc2 inx                    A:a2d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 144 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 156 F:15
c01cbf stz $0200,x   [000210] A:a2d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 174 F:15
c01cc2 inx                    A:a2d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 206 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 218 F:15
c01cbf stz $0200,x   [000211] A:a2d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 236 F:15
c01cc2 inx                    A:a2d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 268 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 280 F:15
c01cbf stz $0200,x   [000212] A:a2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 298 F:15
c01cc2 inx                    A:a2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 330 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 342 F:15
c01cbf stz $0200,x   [000213] A:a2d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 360 F:15
c01cc2 inx                    A:a2d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 392 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 404 F:15
c01cbf stz $0200,x   [000214] A:a2d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 422 F:15
c01cc2 inx                    A:a2d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 454 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 466 F:15
c01cbf stz $0200,x   [000215] A:a2d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 484 F:15
c01cc2 inx                    A:a2d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 516 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 528 F:15
c01cbf stz $0200,x   [000216] A:a2d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 586 F:15
c01cc2 inx                    A:a2d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 618 F:15
c01cc3 bne $1cbf     [c01cbf] A:a2d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 14 H: 630 F:15
