c01cc2 inx                    A:b2d1 X:000e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1276 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1288 F:15
c01cbf stz $0200,x   [00020f] A:b2d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1306 F:15
c01cc2 inx                    A:b2d1 X:000f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1338 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:144 H:1350 F:15
c01cbf stz $0200,x   [000210] A:b2d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:   4 F:15
c01cc2 inx                    A:b2d1 X:0010 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:  36 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:  48 F:15
c01cbf stz $0200,x   [000211] A:b2d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:  66 F:15
c01cc2 inx                    A:b2d1 X:0011 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:  98 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 110 F:15
c01cbf stz $0200,x   [000212] A:b2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 128 F:15
c01cc2 inx                    A:b2d1 X:0012 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 160 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 172 F:15
c01cbf stz $0200,x   [000213] A:b2d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 190 F:15
c01cc2 inx                    A:b2d1 X:0013 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 222 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 234 F:15
c01cbf stz $0200,x   [000214] A:b2d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 252 F:15
c01cc2 inx                    A:b2d1 X:0014 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 284 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 296 F:15
c01cbf stz $0200,x   [000215] A:b2d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 314 F:15
c01cc2 inx                    A:b2d1 X:0015 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 346 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 358 F:15
c01cbf stz $0200,x   [000216] A:b2d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 376 F:15
c01cc2 inx                    A:b2d1 X:0016 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 408 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 420 F:15
c01cbf stz $0200,x   [000217] A:b2d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 438 F:15
c01cc2 inx                    A:b2d1 X:0017 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 470 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 482 F:15
c01cbf stz $0200,x   [000218] A:b2d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 500 F:15
c01cc2 inx                    A:b2d1 X:0018 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 532 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 584 F:15
c01cbf stz $0200,x   [000219] A:b2d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 602 F:15
c01cc2 inx                    A:b2d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 634 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 646 F:15
c01cbf stz $0200,x   [00021a] A:b2d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 664 F:15
c01cc2 inx                    A:b2d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 696 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 708 F:15
c01cbf stz $0200,x   [00021b] A:b2d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 726 F:15
c01cc2 inx                    A:b2d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 758 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 770 F:15
c01cbf stz $0200,x   [00021c] A:b2d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 788 F:15
c01cc2 inx                    A:b2d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 820 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 832 F:15
c01cbf stz $0200,x   [00021d] A:b2d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 850 F:15
c01cc2 inx                    A:b2d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 882 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H: 894 F:15
