c01cc2 inx                    A:b1d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1348 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 16 H:1360 F:14
c01cbf stz $0200,x   [00022c] A:b1d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H:  14 F:14
c01cc2 inx                    A:b1d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H:  46 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H:  58 F:14
c01cbf stz $0200,x   [00022d] A:b1d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H:  76 F:14
c01cc2 inx                    A:b1d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H: 108 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H: 120 F:14
c01cbf stz $0200,x   [00022e] A:b1d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H: 138 F:14
c01cc2 inx                    A:b1d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H: 170 F:14
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H: 182 F:14
c01cbf stz $0200,x   [00022f] A:b1d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 17 H: 200 F:14
